103,0,0,100
105,0,0,100
106,0,0,100
108,0,0,99
110,0,0,99
111,0,0,99
113,0,0,99
115,0,0,98
116,0,0,98
118,0,0,98
119,0,0,98
121,0,0,98
123,0,0,97
124,0,0,97
127,0,0,97
129,0,0,97
130,0,0,97
132,0,0,96
134,0,0,96
135,0,0,96
137,0,0,96
138,0,0,96
140,0,0,95
142,0,0,95
143,0,0,95
145,0,0,95
147,0,0,94
148,0,0,94
150,0,0,94
152,0,0,94
153,0,0,94
155,0,0,93
156,0,0,93
158,0,0,93
160,0,0,93
161,0,0,93
163,0,0,92
165,0,0,92
166,0,0,92
168,0,0,92
170,0,0,92
171,0,0,92
173,0,0,91
174,0,0,91
176,0,0,91
178,0,0,90
179,0,0,90
181,0,0,90
183,0,0,90
184,0,0,90
186,0,0,89
188,0,0,89
189,0,0,89
191,0,0,89
192,0,0,89
194,0,0,88
196,0,0,88
197,0,0,88
199,0,0,88
201,0,0,88
202,0,0,88
204,0,0,87
206,0,0,87
207,0,0,87
209,0,0,86
210,0,0,86
212,0,0,86
214,0,0,86
215,0,0,86
217,0,0,85
220,0,0,85
221,0,0,85
223,0,0,85
224,0,0,85
226,0,0,84
228,0,0,84
229,0,0,84
231,0,0,84
233,0,0,84
234,0,0,83
236,0,0,83
238,0,0,83
239,0,0,83
241,0,0,83
242,0,0,82
244,0,0,82
246,0,0,82
247,0,0,82
249,0,0,82
251,0,0,81
252,0,0,81
254,0,0,81
255,0,0,81
255,0,0,80
255,0,0,80
255,0,0,80
255,0,0,80
255,0,0,80
255,0,0,80
255,2,0,79
255,6,0,79
255,10,0,79
255,15,0,79
255,18,0,78
255,22,0,78
255,25,0,78
255,28,0,78
255,31,0,78
255,35,0,77
255,37,0,77
255,41,0,77
255,44,0,77
255,46,0,76
255,49,0,76
255,53,0,76
255,56,0,76
255,58,0,76
255,61,0,76
255,64,0,75
255,66,0,75
255,70,0,75
255,73,0,74
255,75,0,74
255,78,0,74
255,81,0,74
255,83,0,74
255,86,0,73
255,89,0,73
255,91,0,73
255,94,0,73
255,98,0,73
255,101,0,72
255,103,0,72
255,106,0,72
255,109,0,72
255,111,0,72
255,114,0,72
255,117,0,71
255,119,0,71
255,122,0,71
255,125,0,70
